time_s,pipuck1,pipuck2,pipuck3,pipuck4,pipuck5,pipuck6,
0,0.167202,0.170156,0.211809,0.168679,0.171633,0.186108,
300,0.231306,0.301023,0.273845,0.273845,0.289207,0.289502,
600,0.350356,0.336472,0.369263,0.344448,0.327314,0.354197,
900,0.510764,0.405007,0.493335,0.494517,0.401462,0.493335,
1200,0.641335,0.405598,0.604114,0.598501,0.405598,0.59082,
1500,0.737344,0.740002,0.703667,0.70219,0.405894,0.743843,
1800,0.825967,0.762749,0.824194,0.825967,0.424209,0.825967,
2100,0.854917,0.762749,0.862302,0.854917,0.456704,0.854917,
2400,0.882981,0.762749,0.924338,0.880913,0.533806,0.927883,
2700,0.882981,0.955061,0.955652,0.882981,0.883572,0.955061,
3000,0.882981,0.955652,0.956833,0.882981,0.955652,0.955652,
3300,0.956833,0.956833,0.956833,0.955652,0.955652,0.956833,
3600,0.956833,0.956833,0.956833,0.956833,0.956833,0.956833,
3900,0.956833,0.956833,0.958901,0.956833,0.956833,0.956833,
4200,0.978694,0.971604,0.978694,0.971604,0.978694,0.978694,
4500,0.978694,0.978694,0.978694,0.978694,0.978694,0.978694,
4800,0.978694,0.978694,0.978694,0.978694,0.978694,0.978694,
5100,0.978694,0.978694,0.978694,0.978694,0.978694,0.978694,
5400,0.978694,0.978694,0.978694,0.978694,0.978694,0.978694,
5700,0.978694,0.978694,0.978694,0.978694,0.978694,0.978694,
6000,0.978694,0.978694,0.978694,0.978694,0.978694,0.978694,
6300,0.978694,0.978694,0.978694,0.978694,4.55469,0.978694,
6600,0.978694,0.978694,0.978694,0.978694,-4.89844,0.171875,
6900,0.978694,0.978694,0.978694,0.978694,4.55469,0.598134,
